UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
overview_bulkactions_title;[BULK ACTIONS];[BULK ACTIONS]
overview_bulkactions_delete;delete;delete
overview_bulkactions_checkout;check out for editing (lock record);check out for editing (lock record)
overview_bulkactions_checkin;check in (done editing & unlock record);check in (done editing & unlock record)
overview_bulkactions_lock;lock;lock
overview_bulkactions_unlock;unlock;unlock
boolean_yes;yes;yes
boolean_no;no;no
recordlist_move_up;move record up;move record up
recordlist_move_down;move record down;move record down
recordlist_edit;edit record;edit record
recordlist_translate;translate record to other language;translate record to other language
overview_edit_quicksearch_default;search;search
column-display-on-mobile-header;Record;Record
item_create;New;New
recordlist_record_checkedout;Record CHECKED OUT by [source], not available for editing;Record CHECKED OUT by [source], not available for editing
overview_bulkactions_button_execute;execute;execute
paginator_showingXtoYofZ;Showing [start] to [finish] of [total] entries;Showing [start] to [finish] of [total] entries
skin_loggedin_message_surelogout;Want to log out of [applicationname]?;Want to log out of [applicationname]?
skin_loggedin_message_sureexecutebulkaction;Want to execute action on selected items?;Want to execute action on selected items?
skin_loggedin_websitesname;websites;websites
file_dropzone_numberoffilesdragged;files;files
form_button_save;save;save
form_button_close;close;close
form_error_maxlengthexceeded;The maximumlength [length] of this field is exceeded;The maximumlength [length] of this field is exceeded
form_error_requiredfield;This is a required field;This is a required field
form_error_notavaliddate;This not a valid date;This not a valid date
form_error_notavalidtime;[time] is not a valid time;[time] is not a valid time
message_saverecord_success;Record save successful;Record save successful
message_noitemstodisplay;[ no items to display ];[ no items to display ]
paginator_showingXtoYofZ_noentries;Showing 0 entries;Showing 0 entries
message_saverecord_inputerror;Input error: record NOT saved;Input error: record NOT saved
message_error_clicktodismiss;click to dismiss;click to dismiss
form_error_notavalidemailaddress;This not a valid email address;This not a valid email address
form_error_charactersnotallowed;Some characters are not allowed;Some characters are not allowed
form_error_onlynumbersallowed;Only numbers are allowed;Only numbers are allowed
index_htmltitle;[applicationname] login;[applicationname] login
index_htmlmetadescription;Protected sitemanager environment;Protected sitemanager environment
loginform_lostpassword_link;I forgot my password;I forgot my password
loginform_createaccount_link;Create a new account;Create a new account
loginform_cookiesettings_link;Cookie settings;Cookie settings
login_serviceonlyavailable_countries;This service is available in:;This service is available in:
message_saverecord_error;Save error: record NOT saved!!;Save error: record NOT saved!!
