UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
dr\classes\controllers\TContactFormController_contactform_field_honeypot;First name;First name
dr\classes\controllers\TContactFormController_form_error_maxlengthexceeded;The maximumlength [length] of this field is exceeded;The maximumlength [length] of this field is exceeded
dr\classes\controllers\TContactFormController_form_error_requiredfield;This is a required field;This is a required field
dr\classes\controllers\TContactFormController_contactform_field_fromsender;Name;Name
dr\classes\controllers\TContactFormController_form_error_notavalidemailaddress;This is not a valid email address;This is not a valid email address
dr\classes\controllers\TContactFormController_contactform_field_emailaddress;Email address;Email address
dr\classes\controllers\TContactFormController_contactform_field_selectionoptiontopic_selectsomething;Please select category;Please select category
dr\classes\controllers\TContactFormController_contactform_field_category;Category;Category
dr\classes\controllers\TContactFormController_contactform_field_topic;Topic;Topic
dr\classes\controllers\TContactFormController_contactform_field_message;Message;Message
dr\classes\controllers\TContactFormController_contactform_button_submit;Submit;Submit
