UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
currencies_overview_column_sCurrencyName;Currency;Currency
currencies_overview_column_sCurrencySymbol;Symbol;Symbol
currencies_overview_column_sISOAlphabetic;ISO A;ISO A
currencies_overview_column_iISONumeric;ISO N;ISO N
currencies_overview_column_iMinorUnit;Dec;Dec
currencies_overview_column_bIsVisible;Visible;Visible
currencies_overview_column_bIsSystemDefault;Default;Default
modulename_title_currencies;All system currencies;All system currencies
modulename_menu;Localisation;Localisation
tabsheets_module_name_Languages;Languages;Languages
tabsheets_module_explanation_manage all available languages;manage all available languages;manage all available languages
tabsheets_module_name_languages per website;languages per website;languages per website
tabsheets_module_explanation_manage language that are available on a website;manage language that are available on a website;manage language that are available on a website
tabsheets_module_name_Countries;Countries;Countries
tabsheets_module_explanation_manage all available countries;manage all available countries;manage all available countries
tabsheets_module_name_Currencies;Currencies;Currencies
tabsheets_module_explanation_manage all available currencies;manage all available currencies;manage all available currencies
currenciesdetail_form_field_currencyname;Name;Name
currenciesdetail_form_field_currencysymbol;Symbol;Symbol
currenciesdetail_form_field_isoalphabetic;Alphabetical ISO code;Alphabetical ISO code
currenciesdetail_form_field_isonumeric;Numeric ISO code;Numeric ISO code
currenciesdetail_form_field_minorunit;Decimals after separator;Decimals after separator
currenciesdetail_form_field_issystemdefault;Is system default;Is system default
currenciesdetail_form_field_isvisible;Is visible (in places where only a selected number of currencies are shown);Is visible (in places where only a selected number of currencies are shown)
pagetitle_detailsave_currencies_edit;Edit currency: [currency];Edit currency: [currency]
languages_overview_column_sLanguage;Language;Language
languages_overview_column_sLocale;Locale;Locale
languages_overview_column_bIsCMSLanguage;CMS lang;CMS lang
languages_overview_column_bIsVisible;Visible;Visible
languages_overview_column_bIsSystemDefault;Default;Default
modulename_title_languages;All system languages;All system languages
overview_column_s_domein;website;website
overview_column_sLanguage;language;language
overview_column_sLocale;locale;locale
modulename_title_languagespersite;Languages on sites;Languages on sites
countries_overview_column_sCountryName;Country;Country
countries_overview_column_sISO2;ISO 2;ISO 2
countries_overview_column_sISO3;ISO 3;ISO 3
countries_overview_column_bIsEuropeanUnion;In EU;In EU
countries_overview_column_bIsSystemDefault;Default;Default
modulename_title_countries;All system Countries;All system Countries
currencies_overview_column_iDecimalPrecision;Dec;Dec
languages_form_field_locale;Locale code (format: AA-AA);Locale code (format: AA-AA)
languages_form_field_language;Language name (in English);Language name (in English)
languages_form_field_iscmslanguage;is CMS language;is CMS language
languages_form_field_isvisible;is visible (is shown in places where not all languages are shown, otherwise you have 400 languages);is visible (is shown in places where not all languages are shown, otherwise you have 400 languages)
languages_form_field_isdefaultsystem;Is system default;Is system default
pagetitle_detailsave_languages_edit;Edit language: [language];Edit language: [language]
form_field_website;website;website
form_field_language;language (missing languages? go to: "all languages", "edit" and check: "shown-in-cms");language (missing languages? go to: "all languages", "edit" and check: "shown-in-cms")
pagetitle_detailsave_activelanguagespersite_edit;Edit site language;Edit site language
form_field_country;country;country
form_field_iso2;alpha iso2 code;alpha iso2 code
form_field_iso3;alpha iso3 code;alpha iso3 code
form_field_isineuropeanunion;in European Union;in European Union
form_field_issystemdefault;Is system default;Is system default
pagetitle_detailsave_countries_edit;Edit country: [country];Edit country: [country]
pagetitle_detailsave_countries_new;Create new country;Create new country
pagetitle_detailsave_currencies_new;Create new currency;Create new currency
