UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
overview_column_sNameDefault;Default name;Default name
overview_column_sNameInternal;internal name;internal name
overview_column_bVisible;visible;visible
overview_column_i_volgorde;order;order
overview_column_sName;category;category
modulename_title;modules;modules
overview_column_checks;checks;checks
overview_column_settings;settings;settings
item_uploadmodule;upload;upload
cmsmodulelist_moduleexists_folder_yes;folder exists;folder exists
cmsmodulelist_moduleexists_index_yes;index file exists;index file exists
modulename_menu;Modules;Modules
tabsheets_module_name_installed;installed;installed
tabsheets_module_explanation_manage all available modules in system;manage all available modules in system;manage all available modules in system
tabsheets_module_name_not installed;not installed;not installed
tabsheets_module_explanation_manage modules that are not installed yet;manage modules that are not installed yet;manage modules that are not installed yet
tabsheets_module_name_module categories;module categories;module categories
tabsheets_module_explanation_manage categories of modules;manage categories of modules;manage categories of modules
