UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
pagetitle_detailsave_transactions_new;Create new transaction;Create new transaction
detailsave_transactions_section_details_name;Details;Details
detailsave_transactions_field_transactiontype_description;Transaction type;Transaction type
detailsave_transactions_field_currency_description;Currency;Currency
detailsave_transactions_field_purchaseorderno_description;Purchase order number;Purchase order number
detailsave_transactions_section_lines_name;Lines;Lines
detailsave_transactions_section_notes_name;Notes;Notes
detailsave_transactions_field_internalnotes_description;Internal notes - only visible to you;Internal notes - only visible to you
detailsave_transactions_field_externalnotes_description;External notes - shown on invoice;External notes - shown on invoice
detailsave_transactions_section_history_name;History;History
modulename_menu;Invoices + orders;Invoices + orders
detailsave_transactions_field_buyer_description;Buyer;Buyer
overview_column_dtInvoiceDate;Inv Date;Inv Date
overview_column_sInvoiceNumber;Inv No;Inv No
overview_column_sFirstNameInitials;Company;Company
overview_column_sLastName;Name;Name
overview_column_sEAE;Email;Email
overview_column_crTotalPriceInclVAT;Total;Total
tab_title_transactions;Transactions;Transactions
tabsheets_module_name_Transactions;Transactions;Transactions
tabsheets_module_explanation_Manage all invoices and orders;Manage all invoices and orders;Manage all invoices and orders
tabsheets_module_name_Trans. Types;Trans. Types;Trans. Types
tabsheets_module_explanation_Manage types of transactions;Manage types of transactions;Manage types of transactions
